date	time	milli	price	qty	turnover	cumOpenint	yp	bid	bid.qty	ask	ask.qty	cum.qty	cum.turnover
20210421	21:01:47	500	13870	3	416150.0	223102	13910	13870	62	13875	29	8564	1187440850
20210421	21:01:48	0	13875	83	11512350.0	223067	13910	13865	109	13875	32	8647	1198953200
20210421	21:01:48	500	13875	13	1803700.0	223076	13910	13870	7	13875	58	8660	1200756900
20210421	21:01:49	0	13870	2	277400.0	223075	13910	13870	74	13875	69	8662	1201034300
20210421	21:01:49	500	13870	1	138700.0	223075	13910	13870	83	13875	67	8663	1201173000
20210421	21:01:50	0	13870	0	0.0	223075	13910	13870	83	13875	67	8663	1201173000
20210421	21:01:50	500	13875	30	4162500.0	223084	13910	13870	93	13875	41	8693	1205335500
20210421	21:01:51	0	13875	6	832400.0	223081	13910	13870	104	13875	39	8699	1206167900
20210421	21:01:51	500	13875	1	138750.0	223081	13910	13870	106	13875	40	8700	1206306650
20210421	21:01:52	0	13875	0	0.0	223081	13910	13870	106	13875	41	8700	1206306650
20210421	21:01:52	500	13875	2	277500.0	223081	13910	13870	107	13875	41	8702	1206584150
20210421	21:01:53	0	13875	4	555000.0	223077	13910	13870	109	13875	37	8706	1207139150
20210421	21:01:53	500	13875	1	138750.0	223076	13910	13870	120	13875	36	8707	1207277900
20210421	21:01:54	0	13875	10	1387500.0	223074	13910	13870	115	13875	21	8717	1208665400
20210421	21:01:54	500	13870	19	2635600.0	223060	13910	13870	107	13875	16	8736	1211301000
20210421	21:01:55	0	13870	21	2913650.0	223066	13910	13870	110	13875	10	8757	1214214650
20210421	21:01:55	500	13875	14	1942450.0	223063	13910	13870	112	13875	12	8771	1216157100
20210421	21:01:56	0	13875	11	1526250.0	223070	13910	13870	113	13875	2	8782	1217683350
20210421	21:01:56	500	13875	4	555000.0	223071	13910	13875	15	13880	174	8786	1218238350
20210421	21:01:57	0	13875	59	8186250.0	223065	13910	13870	110	13875	1	8845	1226424600
20210421	21:01:57	500	13875	40	5550000.0	223079	13910	13870	112	13875	10	8885	1231974600
20210421	21:01:58	0	13875	2	277450.0	223079	13910	13870	111	13875	27	8887	1232252050
20210421	21:01:58	500	13875	2	277500.0	223078	13910	13870	112	13875	35	8889	1232529550
20210421	21:01:59	0	13875	5	693700.0	223074	13910	13870	108	13875	37	8894	1233223250
20210421	21:01:59	500	13875	2	277500.0	223074	13910	13870	121	13875	36	8896	1233500750
20210421	21:02:00	0	13875	6	832450.0	223074	13910	13870	121	13875	31	8902	1234333200
20210421	21:02:00	500	13870	151	20944050.0	223138	13910	13865	119	13870	2	9053	1255277250
20210421	21:02:01	0	13870	21	2912700.0	223144	13910	13870	1	13875	64	9074	1258189950
20210421	21:02:01	500	13865	53	7351500.0	223122	13910	13865	137	13875	91	9127	1265541450
